,YEAR,STATE,Cesarean Delivery Rate,"Drug Overdose Mortality per 100,000",Percent of Babies Born to Unmarried Mothers,"Suicide Mortality per 100,000","Teen Births per 1,000"
199,2016,WY,27.4,17.6,32.8,25.2,26.1
200,2017,AL,35.1,18.0,47.1,16.6,27.0
201,2017,AK,22.5,20.2,35.3,27.0,22.0
202,2017,AZ,26.9,22.2,44.8,18.2,22.0
203,2017,AR,33.5,15.5,45.5,20.8,32.8
204,2017,CA,31.4,11.7,37.5,10.5,15.1
205,2017,CO,26.5,17.6,22.5,20.3,16.1
206,2017,CT,34.8,30.9,36.6,10.5,8.8
207,2017,DE,31.8,37.0,47.6,11.6,18.5
208,2017,FL,37.2,25.1,47.0,14.0,18.2
209,2017,GA,34.2,14.7,44.9,13.6,21.9
210,2017,HI,25.9,13.8,38.6,15.2,19.1
211,2017,ID,23.7,14.4,28.1,23.2,18.6
212,2017,IL,31.1,21.6,39.8,11.2,17.4
213,2017,IN,29.7,29.4,42.8,16.3,22.8
214,2017,IA,29.7,11.5,35.4,15.0,16.0
215,2017,KS,30.0,11.8,35.7,19.1,21.3
216,2017,KY,35.2,37.2,41.6,16.9,29.0
217,2017,LA,37.5,24.5,52.7,15.2,29.1
218,2017,ME,29.9,34.4,39.0,18.9,13.1
219,2017,MD,33.9,36.3,39.6,9.8,14.2
220,2017,MA,31.6,31.8,33.0,9.5,8.1
221,2017,MI,31.9,27.8,41.1,14.1,16.4
222,2017,MN,27.4,13.3,32.0,13.8,12.1
223,2017,MS,37.8,12.2,53.5,15.0,31.0
224,2017,MO,30.1,23.4,39.9,18.5,22.5
225,2017,MT,28.5,11.7,35.9,28.9,21.2
226,2017,NE,30.4,8.1,33.2,14.7,18.1
227,2017,NV,34.1,21.6,48.4,20.3,21.9
228,2017,NH,31.0,37.0,32.6,18.9,8.4
229,2017,NJ,35.9,30.0,33.9,8.3,10.3
230,2017,NM,24.7,24.8,51.7,23.3,27.9
231,2017,NY,34.1,19.4,38.0,8.1,12.5
232,2017,NC,29.4,24.1,40.9,14.3,20.6
233,2017,ND,28.3,9.2,31.5,20.1,16.2
234,2017,OH,30.3,46.3,43.2,14.8,20.8
235,2017,OK,32.2,20.1,42.0,19.1,29.7
236,2017,OR,28.1,12.4,36.2,19.0,15.0
237,2017,PA,30.5,44.3,41.0,15.0,14.8
238,2017,RI,31.5,31.0,43.9,11.8,11.4
239,2017,SC,33.5,20.5,46.1,16.3,21.7
240,2017,SD,24.5,8.5,37.2,22.5,22.6
241,2017,TN,32.4,26.6,43.6,16.8,26.6
242,2017,TX,35.0,10.5,41.0,13.4,27.6
243,2017,UT,22.8,22.3,18.5,22.7,15.2
244,2017,VT,25.7,23.2,40.1,18.3,10.1
245,2017,VA,32.6,17.9,34.6,13.4,15.0
246,2017,WA,27.7,15.2,31.6,16.9,14.8
247,2017,WV,35.2,57.8,45.6,21.1,27.1
248,2017,WI,26.4,21.2,37.7,15.4,13.8
249,2017,WY,26.4,12.2,33.5,26.9,24.6
250,2018,AL,34.7,16.6,46.8,16.5,25.2
251,2018,AK,22.4,14.6,35.3,24.6,19.3
252,2018,AZ,27.5,23.8,44.9,19.2,20.1
253,2018,AR,34.8,15.7,45.4,18.3,30.4
254,2018,CA,30.9,12.8,37.1,10.9,13.6
255,2018,CO,26.1,16.8,23.2,21.9,14.3
256,2018,CT,34.8,30.7,37.1,10.6,8.3
